t_ms,solar_norm,eolica_norm,duty_solar,duty_eolica,laps_solar,laps_eolica,finished,reset_evt
0,0.000000,0.800000,0.000000,0.800000,0,0,0,0
5,0.000092,0.800000,0.000092,0.800000,0,0,0,0
10,0.000183,0.800000,0.000183,0.800000,0,0,0,0
15,0.000275,0.800000,0.000275,0.800000,0,0,0,0
20,0.000367,0.800000,0.000367,0.800000,0,0,0,0
25,0.000458,0.800000,0.000458,0.800000,0,0,0,0
30,0.000550,0.800000,0.000550,0.800000,0,0,0,0
35,0.000642,0.800000,0.000642,0.800000,0,0,0,0
40,0.000733,0.800000,0.000733,0.800000,0,0,0,0
45,0.000825,0.800000,0.000825,0.800000,0,0,0,0
50,0.000917,0.800000,0.000917,0.800000,0,0,0,0
55,0.001008,0.800000,0.001008,0.800000,0,0,0,0
60,0.001100,0.800000,0.001100,0.800000,0,0,0,0
65,0.001192,0.800000,0.001192,0.800000,0,0,0,0
70,0.001283,0.800000,0.001283,0.800000,0,0,0,0
75,0.001375,0.800000,0.001375,0.800000,0,0,0,0
80,0.001467,0.800000,0.001467,0.800000,0,0,0,0
85,0.001558,0.800000,0.001558,0.800000,0,0,0,0
90,0.001650,0.800000,0.001650,0.800000,0,0,0,0
95,0.001742,0.800000,0.001742,0.800000,0,0,0,0
100,0.001833,0.800000,0.001833,0.800000,0,0,0,0
105,0.001925,0.800000,0.001925,0.800000,0,0,0,0
110,0.002017,0.800000,0.002017,0.800000,0,0,0,0
115,0.002108,0.800000,0.002108,0.800000,0,0,0,0
120,0.002200,0.800000,0.002200,0.800000,0,0,0,0
125,0.002292,0.800000,0.002292,0.800000,0,0,0,0
130,0.002383,0.800000,0.002383,0.800000,0,0,0,0
135,0.002475,0.800000,0.002475,0.800000,0,0,0,0
140,0.002567,0.800000,0.002567,0.800000,0,0,0,0
145,0.002658,0.800000,0.002658,0.800000,0,0,0,0
150,0.002750,0.800000,0.002750,0.800000,0,0,0,0
155,0.002842,0.800000,0.002842,0.800000,0,0,0,0
160,0.002933,0.800000,0.002933,0.800000,0,0,0,0
165,0.003025,0.800000,0.003025,0.800000,0,0,0,0
170,0.003117,0.800000,0.003117,0.800000,0,0,0,0
175,0.003208,0.800000,0.003208,0.800000,0,0,0,0
180,0.003300,0.800000,0.003300,0.800000,0,0,0,0
185,0.003392,0.800000,0.003392,0.800000,0,0,0,0
190,0.003483,0.800000,0.003483,0.800000,0,0,0,0
195,0.003575,0.800000,0.003575,0.800000,0,0,0,0
200,0.003667,0.800000,0.003667,0.800000,0,0,0,0
205,0.003758,0.800000,0.003758,0.800000,0,0,0,0
210,0.003850,0.800000,0.003850,0.800000,0,0,0,0
215,0.003942,0.800000,0.003942,0.800000,0,0,0,0
220,0.004033,0.800000,0.004033,0.800000,0,0,0,0
225,0.004125,0.800000,0.004125,0.800000,0,0,0,0
230,0.004217,0.800000,0.004217,0.800000,0,0,0,0
235,0.004308,0.800000,0.004308,0.800000,0,0,0,0
240,0.004400,0.800000,0.004400,0.800000,0,0,0,0
245,0.004492,0.800000,0.004492,0.800000,0,0,0,0
250,0.004583,0.800000,0.004583,0.800000,0,0,0,0
255,0.004675,0.800000,0.004675,0.800000,0,0,0,0
260,0.004767,0.800000,0.004767,0.800000,0,0,0,0
265,0.004858,0.800000,0.004858,0.800000,0,0,0,0
270,0.004950,0.800000,0.004950,0.800000,0,0,0,0
275,0.005042,0.800000,0.005042,0.800000,0,0,0,0
280,0.005133,0.800000,0.005133,0.800000,0,0,0,0
285,0.005225,0.800000,0.005225,0.800000,0,0,0,0
290,0.005317,0.800000,0.005317,0.800000,0,0,0,0
295,0.005408,0.800000,0.005408,0.800000,0,0,0,0
300,0.005500,0.800000,0.005500,0.800000,0,0,0,0
305,0.005592,0.800000,0.005592,0.800000,0,0,0,0
310,0.005683,0.800000,0.005683,0.800000,0,0,0,0
315,0.005775,0.800000,0.005775,0.800000,0,0,0,0
320,0.005867,0.800000,0.005867,0.800000,0,0,0,0
325,0.005958,0.800000,0.005958,0.800000,0,0,0,0
330,0.006050,0.800000,0.006050,0.800000,0,0,0,0
335,0.006142,0.800000,0.006142,0.800000,0,0,0,0
340,0.006233,0.800000,0.006233,0.800000,0,0,0,0
345,0.006325,0.800000,0.006325,0.800000,0,0,0,0
350,0.006417,0.800000,0.006417,0.800000,0,0,0,0
355,0.006508,0.800000,0.006508,0.800000,0,0,0,0
360,0.006600,0.800000,0.006600,0.800000,0,0,0,0
365,0.006692,0.800000,0.006692,0.800000,0,0,0,0
370,0.006783,0.800000,0.006783,0.800000,0,0,0,0
375,0.006875,0.800000,0.006875,0.800000,0,0,0,0
380,0.006967,0.800000,0.006967,0.800000,0,0,0,0
385,0.007058,0.800000,0.007058,0.800000,0,0,0,0
390,0.007150,0.800000,0.007150,0.800000,0,0,0,0
395,0.007242,0.800000,0.007242,0.800000,0,0,0,0
400,0.007333,0.800000,0.007333,0.800000,0,0,0,0
405,0.007425,0.800000,0.007425,0.800000,0,0,0,0
410,0.007517,0.800000,0.007517,0.800000,0,0,0,0
415,0.007608,0.800000,0.007608,0.800000,0,0,0,0
420,0.007700,0.800000,0.007700,0.800000,0,0,0,0
425,0.007792,0.800000,0.007792,0.800000,0,0,0,0
430,0.007883,0.800000,0.007883,0.800000,0,0,0,0
435,0.007975,0.800000,0.007975,0.800000,0,0,0,0
440,0.008067,0.800000,0.008067,0.800000,0,0,0,0
445,0.008158,0.800000,0.008158,0.800000,0,0,0,0
450,0.008250,0.800000,0.008250,0.800000,0,0,0,0
455,0.008342,0.800000,0.008342,0.800000,0,0,0,0
460,0.008433,0.800000,0.008433,0.800000,0,0,0,0
465,0.008525,0.800000,0.008525,0.800000,0,0,0,0
470,0.008617,0.800000,0.008617,0.800000,0,0,0,0
475,0.008708,0.800000,0.008708,0.800000,0,0,0,0
480,0.008800,0.800000,0.008800,0.800000,0,0,0,0
485,0.008892,0.800000,0.008892,0.800000,0,0,0,0
490,0.008983,0.800000,0.008983,0.800000,0,0,0,0
495,0.009075,0.800000,0.009075,0.800000,0,0,0,0
500,0.009167,0.800000,0.009167,0.800000,0,0,0,0
505,0.009258,0.800000,0.009258,0.800000,0,0,0,0
510,0.009350,0.800000,0.009350,0.800000,0,0,0,0
515,0.009442,0.800000,0.009442,0.800000,0,0,0,0
520,0.009533,0.800000,0.009533,0.800000,0,0,0,0
525,0.009625,0.800000,0.009625,0.800000,0,0,0,0
530,0.009717,0.800000,0.009717,0.800000,0,0,0,0
535,0.009808,0.800000,0.009808,0.800000,0,0,0,0
540,0.009900,0.800000,0.009900,0.800000,0,0,0,0
545,0.009992,0.800000,0.009992,0.800000,0,0,0,0
550,0.010083,0.800000,0.010083,0.800000,0,0,0,0
555,0.010175,0.800000,0.010175,0.800000,0,0,0,0
560,0.010267,0.800000,0.010267,0.800000,0,0,0,0
565,0.010358,0.800000,0.010358,0.800000,0,0,0,0
570,0.010450,0.800000,0.010450,0.800000,0,0,0,0
575,0.010542,0.800000,0.010542,0.800000,0,0,0,0
580,0.010633,0.800000,0.010633,0.800000,0,0,0,0
585,0.010725,0.800000,0.010725,0.800000,0,0,0,0
590,0.010817,0.800000,0.010817,0.800000,0,0,0,0
595,0.010908,0.800000,0.010908,0.800000,0,0,0,0
600,0.011000,0.800000,0.011000,0.800000,0,0,0,0
605,0.011092,0.800000,0.011092,0.800000,0,0,0,0
610,0.011183,0.800000,0.011183,0.800000,0,0,0,0
615,0.011275,0.800000,0.011275,0.800000,0,0,0,0
620,0.011367,0.800000,0.011367,0.800000,0,0,0,0
625,0.011458,0.800000,0.011458,0.800000,0,0,0,0
630,0.011550,0.800000,0.011550,0.800000,0,0,0,0
635,0.011642,0.800000,0.011642,0.800000,0,0,0,0
640,0.011733,0.800000,0.011733,0.800000,0,0,0,0
645,0.011825,0.800000,0.011825,0.800000,0,0,0,0
650,0.011917,0.800000,0.011917,0.800000,0,0,0,0
655,0.012008,0.800000,0.012008,0.800000,0,0,0,0
660,0.012100,0.800000,0.012100,0.800000,0,0,0,0
665,0.012192,0.800000,0.012192,0.800000,0,0,0,0
670,0.012283,0.800000,0.012283,0.800000,0,0,0,0
675,0.012375,0.800000,0.012375,0.800000,0,0,0,0
680,0.012467,0.800000,0.012467,0.800000,0,0,0,0
685,0.012558,0.800000,0.012558,0.800000,0,0,0,0
690,0.012650,0.800000,0.012650,0.800000,0,0,0,0
695,0.012742,0.800000,0.012742,0.800000,0,0,0,0
700,0.012833,0.800000,0.012833,0.800000,0,0,0,0
705,0.012925,0.800000,0.012925,0.800000,0,0,0,0
710,0.013017,0.800000,0.013017,0.800000,0,0,0,0
715,0.013108,0.800000,0.013108,0.800000,0,0,0,0
720,0.013200,0.800000,0.013200,0.800000,0,0,0,0
725,0.013292,0.800000,0.013292,0.800000,0,0,0,0
730,0.013383,0.800000,0.013383,0.800000,0,0,0,0
735,0.013475,0.800000,0.013475,0.800000,0,0,0,0
740,0.013567,0.800000,0.013567,0.800000,0,0,0,0
745,0.013658,0.800000,0.013658,0.800000,0,0,0,0
750,0.013750,0.800000,0.013750,0.800000,0,0,0,0
755,0.013842,0.800000,0.013842,0.800000,0,0,0,0
760,0.013933,0.800000,0.013933,0.800000,0,0,0,0
765,0.014025,0.800000,0.014025,0.800000,0,0,0,0
770,0.014117,0.800000,0.014117,0.800000,0,0,0,0
775,0.014208,0.800000,0.014208,0.800000,0,0,0,0
780,0.014300,0.800000,0.014300,0.800000,0,0,0,0
785,0.014392,0.800000,0.014392,0.800000,0,0,0,0
790,0.014483,0.800000,0.014483,0.800000,0,0,0,0
795,0.014575,0.800000,0.014575,0.800000,0,0,0,0
800,0.026667,0.800000,0.026667,0.800000,0,0,0,0
805,0.026833,0.800000,0.026833,0.800000,0,0,0,0
810,0.027000,0.800000,0.027000,0.800000,0,0,0,0
815,0.027167,0.800000,0.027167,0.800000,0,0,0,0
820,0.027333,0.800000,0.027333,0.800000,0,0,0,0
825,0.027500,0.800000,0.027500,0.800000,0,0,0,0
830,0.027667,0.800000,0.027667,0.800000,0,0,0,0
835,0.027833,0.800000,0.027833,0.800000,0,0,0,0
840,0.028000,0.800000,0.028000,0.800000,0,0,0,0
845,0.028167,0.800000,0.028167,0.800000,0,0,0,0
850,0.028333,0.800000,0.028333,0.800000,0,0,0,0
855,0.028500,0.800000,0.028500,0.800000,0,0,0,0
860,0.028667,0.800000,0.028667,0.800000,0,0,0,0
865,0.028833,0.800000,0.028833,0.800000,0,0,0,0
870,0.029000,0.800000,0.029000,0.800000,0,0,0,0
875,0.029167,0.800000,0.029167,0.800000,0,0,0,0
880,0.029333,0.800000,0.029333,0.800000,0,0,0,0
885,0.029500,0.800000,0.029500,0.800000,0,0,0,0
